participantID,rating_subj,rating_type,artwork,rating,actual_rating
1,154,Target,https://uploads7.wikiart.org/00243/images/clementine-hunter/2016-28-9.jpg!Large.jpg,67,40
1,154,Target,https://uploads0.wikiart.org/images/shozo-shimamoto/unknown-title.jpg!Large.jpg,33,80
1,154,SelfRate,https://uploads1.wikiart.org/00243/images/konrad-zuse/6332-80x55.jpg!PinterestSmall.jpg,37,42
1,154,SelfRate,https://uploads8.wikiart.org/images/tony-smith/die-1968.jpg,63,0
1,154,SelfRate,https://uploads7.wikiart.org/00243/images/clementine-hunter/2016-28-9.jpg!Large.jpg,28,40
1,154,SelfRate,https://uploads8.wikiart.org/images/jules-dupre/the-windmill-1859.jpg,75,41
1,154,SelfRate,https://uploads8.wikiart.org/images/luc-olivier-merson/fame-la-renomme-e-27-x-33-cm-1889.jpg,41,81
1,154,SelfRate,https://uploads8.wikiart.org/images/l-opold-survage/l-oiseau-1915.jpg,28,38
1,154,SelfRate,https://uploads0.wikiart.org/images/shozo-shimamoto/unknown-title.jpg!Large.jpg,99,80
1,154,SelfRate,https://uploads8.wikiart.org/images/antoine-pesne/reception-of-august-the-strong-in-the-berlin-city-palaces-1729.jpg,7,62
1,154,SelfRate,https://uploads8.wikiart.org/images/james-mcneill-whistler/study-for-mouth-of-the-river-1877.jpg,81,45
1,154,SelfRate,https://uploads8.wikiart.org/images/harrison-fisher/untitled-32.jpg,19,45
1,154,SelfRate,https://uploads8.wikiart.org/images/johannes-jan-schoonhoven/r60-27-1960.jpg,60,37
1,154,SelfRate,https://uploads8.wikiart.org/images/jean-dubuffet/subway.jpg,72,35
1,154,SelfRate,https://uploads8.wikiart.org/images/victor-vasarely/the-chess-board-1935.jpg,74,99
1,154,SelfRate,https://uploads5.wikiart.org/00177/images/ippolito-kaffi/ippolito-caffi-1809-1866-the-partenon.jpg!HD.jpg,24,46
1,154,SelfRate,https://uploads8.wikiart.org/images/albert-pinkham-ryder/pegasus-departing-1901.jpg,68,44
1,154,SelfRate,https://uploads8.wikiart.org/images/man-ray/jazz.jpg,64,13
1,154,SelfRate,https://uploads7.wikiart.org/00333/images/gerda-wegener/an-elegant-young-lady-with-a-fur-hat-by-gerda-wegener-1918.jpg!HalfHD.jpg,84,100
1,154,SelfRate,https://uploads8.wikiart.org/images/jean-fautrier/untitled-1943.jpg,89,35
1,154,SelfRate,https://uploads6.wikiart.org/00308/images/jean-baptiste-van-loo/jean-baptiste-van-loo-le-bain-de-diane.jpg!HD.jpg,31,91
1,154,SelfRate,https://uploads8.wikiart.org/images/camille-pissarro/avenue-de-l-opera-place-du-theatre-francais-misty.jpg,88,64
2,154,Target,https://uploads1.wikiart.org/00243/images/konrad-zuse/6332-80x55.jpg!PinterestSmall.jpg,8,42
2,154,Target,https://uploads8.wikiart.org/images/tony-smith/die-1968.jpg,15,0
2,154,Target,https://uploads7.wikiart.org/00243/images/clementine-hunter/2016-28-9.jpg!Large.jpg,23,40
2,154,Target,https://uploads8.wikiart.org/images/wayne-thiebaud/pies-pies-pies-1961.jpg,22,46
2,154,Target,https://uploads8.wikiart.org/images/jules-dupre/the-windmill-1859.jpg,45,41
2,154,Target,https://uploads8.wikiart.org/images/luc-olivier-merson/fame-la-renomme-e-27-x-33-cm-1889.jpg,66,81
2,154,Target,https://uploads8.wikiart.org/images/l-opold-survage/l-oiseau-1915.jpg,36,38
2,154,Target,https://uploads8.wikiart.org/images/jean-dupas/la-danseuse-et-les-deux-pigeons-1919.jpg,38,51
2,154,Target,https://uploads0.wikiart.org/images/shozo-shimamoto/unknown-title.jpg!Large.jpg,38,80
2,154,Target,https://uploads8.wikiart.org/images/antoine-pesne/reception-of-august-the-strong-in-the-berlin-city-palaces-1729.jpg,83,62
2,154,Target,https://uploads8.wikiart.org/images/tivadar-kosztka-csontvary/sunset-over-the-bay-of-naples-1901.jpg,50,34
2,154,Target,https://uploads8.wikiart.org/images/james-mcneill-whistler/study-for-mouth-of-the-river-1877.jpg,57,45
2,154,Target,https://uploads8.wikiart.org/images/harrison-fisher/untitled-32.jpg,80,45
2,154,Target,https://uploads8.wikiart.org/images/johannes-jan-schoonhoven/r60-27-1960.jpg,39,37
2,154,Target,https://uploads8.wikiart.org/images/jean-dubuffet/subway.jpg,46,35
2,154,Target,https://uploads8.wikiart.org/images/victor-vasarely/the-chess-board-1935.jpg,18,99
2,154,Target,https://uploads5.wikiart.org/00177/images/ippolito-kaffi/ippolito-caffi-1809-1866-the-partenon.jpg!HD.jpg,57,46
2,154,Target,https://uploads8.wikiart.org/images/albert-pinkham-ryder/pegasus-departing-1901.jpg,33,44
2,154,SelfRate,https://uploads1.wikiart.org/00243/images/konrad-zuse/6332-80x55.jpg!PinterestSmall.jpg,0,42
2,154,SelfRate,https://uploads8.wikiart.org/images/tony-smith/die-1968.jpg,43,0
2,154,SelfRate,https://uploads7.wikiart.org/00243/images/clementine-hunter/2016-28-9.jpg!Large.jpg,55,40
2,154,SelfRate,https://uploads8.wikiart.org/images/wayne-thiebaud/pies-pies-pies-1961.jpg,67,46
2,154,SelfRate,https://uploads8.wikiart.org/images/jules-dupre/the-windmill-1859.jpg,92,41
2,154,SelfRate,https://uploads8.wikiart.org/images/luc-olivier-merson/fame-la-renomme-e-27-x-33-cm-1889.jpg,7,81
2,154,SelfRate,https://uploads8.wikiart.org/images/l-opold-survage/l-oiseau-1915.jpg,32,38
2,154,SelfRate,https://uploads8.wikiart.org/images/jean-dupas/la-danseuse-et-les-deux-pigeons-1919.jpg,59,51
2,154,SelfRate,https://uploads0.wikiart.org/images/shozo-shimamoto/unknown-title.jpg!Large.jpg,38,80
2,154,SelfRate,https://uploads8.wikiart.org/images/antoine-pesne/reception-of-august-the-strong-in-the-berlin-city-palaces-1729.jpg,51,62
2,154,SelfRate,https://uploads8.wikiart.org/images/tivadar-kosztka-csontvary/sunset-over-the-bay-of-naples-1901.jpg,83,34
2,154,SelfRate,https://uploads8.wikiart.org/images/james-mcneill-whistler/study-for-mouth-of-the-river-1877.jpg,73,45
2,154,SelfRate,https://uploads8.wikiart.org/images/harrison-fisher/untitled-32.jpg,43,45
2,154,SelfRate,https://uploads8.wikiart.org/images/johannes-jan-schoonhoven/r60-27-1960.jpg,40,37
2,154,SelfRate,https://uploads8.wikiart.org/images/jean-dubuffet/subway.jpg,42,35
2,154,SelfRate,https://uploads8.wikiart.org/images/victor-vasarely/the-chess-board-1935.jpg,33,99
2,154,SelfRate,https://uploads5.wikiart.org/00177/images/ippolito-kaffi/ippolito-caffi-1809-1866-the-partenon.jpg!HD.jpg,90,46
2,154,SelfRate,https://uploads8.wikiart.org/images/albert-pinkham-ryder/pegasus-departing-1901.jpg,45,44
2,154,SelfRate,https://uploads8.wikiart.org/images/man-ray/jazz.jpg,42,13
2,154,SelfRate,https://uploads7.wikiart.org/00333/images/gerda-wegener/an-elegant-young-lady-with-a-fur-hat-by-gerda-wegener-1918.jpg!HalfHD.jpg,53,100
2,154,SelfRate,https://uploads8.wikiart.org/images/jean-fautrier/untitled-1943.jpg,32,35
2,154,SelfRate,https://uploads6.wikiart.org/00308/images/jean-baptiste-van-loo/jean-baptiste-van-loo-le-bain-de-diane.jpg!HD.jpg,70,91
2,154,SelfRate,https://uploads8.wikiart.org/00284/images/francesc-masriera/masriera-belles.jpg!Large.jpg,45,96
2,154,SelfRate,https://uploads8.wikiart.org/images/camille-pissarro/avenue-de-l-opera-place-du-theatre-francais-misty.jpg,96,64
3,252,Target,https://uploads8.wikiart.org/images/man-ray/jazz.jpg,81,62
3,252,Target,https://uploads8.wikiart.org/images/pierre-puvis-de-chavannes/the-poor-fisherman.jpg,35,26
3,252,Target,https://uploads8.wikiart.org/images/charles-jacque/cows-1865.jpg,36,51
3,252,Target,https://uploads8.wikiart.org/images/may-wilson/ridiculous-portrait-statue-of-liberty-1972.jpg,26,6
3,252,Target,https://uploads4.wikiart.org/00152/images/adolf-wolfli/irren-anstalt-band-hain-1910.jpg!Large.jpg,66,60
3,252,Target,https://uploads8.wikiart.org/images/gego/untitled-1966.jpg,74,55
3,252,Target,https://uploads8.wikiart.org/00307/images/frank-frazetta/a-princess-of-mars.jpg,27,5
3,252,Target,https://uploads8.wikiart.org/images/edgar-degas/landscape-at-valery-sur-somme.jpg,45,73
3,252,Target,https://uploads8.wikiart.org/images/james-mcneill-whistler/study-for-mouth-of-the-river-1877.jpg,64,55
3,252,Target,https://uploads2.wikiart.org/00192/images/emil-nolde/5b4816d6edc2c90a545a2384.jpg!Large.jpg,72,68
3,252,Target,https://uploads8.wikiart.org/images/lovis-corinth/cain-1917.jpg,31,59
3,252,Target,https://uploads8.wikiart.org/images/paul-bril/fantastic-mountain-landscape-1598.jpg,33,47
3,252,Target,https://uploads8.wikiart.org/images/james-ward/the-eildon-hills-and-the-tweed-1807.jpg,40,65
3,252,Target,https://uploads8.wikiart.org/images/willi-baumeister/sun-figures-1944.jpg,62,53
3,252,Target,https://uploads0.wikiart.org/images/shozo-shimamoto/unknown-title.jpg!Large.jpg,76,76
3,252,Target,https://uploads8.wikiart.org/images/tamara-de-lempicka/portrait-of-marquis-sommi-1925.jpg,42,59
3,252,Target,https://uploads1.wikiart.org/00452/images/jean-dupas/42-medium.jpg!Large.jpg,34,51
3,252,SelfRate,https://uploads8.wikiart.org/images/man-ray/jazz.jpg,84,62
3,252,SelfRate,https://uploads8.wikiart.org/images/tamara-de-lempicka/portrait-of-marquis-sommi-1925.jpg,70,59
3,252,SelfRate,https://uploads1.wikiart.org/00452/images/jean-dupas/42-medium.jpg!Large.jpg,0,51
3,252,SelfRate,https://uploads0.wikiart.org/images/shozo-shimamoto/unknown-title.jpg!Large.jpg,26,76
